stress_id,c6_x,c6_y,gt_x,gt_y,scenario,difficulty,architecture,source_pair_id,c9_x,c9_y,candidate_score,candidate_agreement,c6_error_px,c9_error_px,jump_px,improvement_px,final_x,final_y,accepted,decision_reason,final_error_px,regression,catastrophic_final
1,583.0,652.0,583.0,652.0,reference_brightness,easy,dram,1,583.0,652.0,0.6830478776330231,0.5,0.0,0.0,0.0,0.0,583.0,652.0,False,cell6_already_good,0.0,False,False
2,583.0,652.0,583.0,652.0,search_brightness,easy,dram,1,583.0,652.0,0.6830478776330231,0.5,0.0,0.0,0.0,0.0,583.0,652.0,False,cell6_already_good,0.0,False,False
3,583.0,652.0,583.0,652.0,contrast_mismatch,medium,dram,1,583.0,652.0,0.6830478776330231,0.5,0.0,0.0,0.0,0.0,583.0,652.0,False,cell6_already_good,0.0,False,False
4,583.0,652.0,583.0,652.0,noise,medium,dram,1,583.0,652.0,0.6830478776330231,0.5,0.0,0.0,0.0,0.0,583.0,652.0,False,cell6_already_good,0.0,False,False
5,583.0,652.0,583.0,652.0,blur,medium,dram,1,583.0,652.0,0.6830478776330231,0.5,0.0,0.0,0.0,0.0,583.0,652.0,False,cell6_already_good,0.0,False,False
6,583.0,652.0,583.0,652.0,illumination,medium,dram,1,583.0,652.0,0.6830478776330231,0.5,0.0,0.0,0.0,0.0,583.0,652.0,False,cell6_already_good,0.0,False,False
7,583.0,652.0,583.0,652.0,reference_rotation,hard,dram,1,583.0,652.0,0.6830478776330231,0.5,0.0,0.0,0.0,0.0,583.0,652.0,False,cell6_already_good,0.0,False,False
8,583.0,652.0,583.0,652.0,reference_scale,hard,dram,1,583.0,652.0,0.6830478776330231,0.5,0.0,0.0,0.0,0.0,583.0,652.0,False,cell6_already_good,0.0,False,False
9,583.0,652.0,583.0,652.0,combined,hard,dram,1,583.0,652.0,0.6830478776330231,0.5,0.0,0.0,0.0,0.0,583.0,652.0,False,cell6_already_good,0.0,False,False
10,610.0,400.0,610.0,400.0,reference_brightness,easy,dram,2,610.0,400.0,0.7878285721043783,0.75,0.0,0.0,0.0,0.0,610.0,400.0,False,cell6_already_good,0.0,False,False
11,610.0,400.0,610.0,400.0,search_brightness,easy,dram,2,610.0,400.0,0.7878285721043783,0.75,0.0,0.0,0.0,0.0,610.0,400.0,False,cell6_already_good,0.0,False,False
12,610.0,400.0,610.0,400.0,contrast_mismatch,medium,dram,2,610.0,400.0,0.7878285721043783,0.75,0.0,0.0,0.0,0.0,610.0,400.0,False,cell6_already_good,0.0,False,False
13,610.0,400.0,610.0,400.0,noise,medium,dram,2,610.0,400.0,0.7878285721043783,0.75,0.0,0.0,0.0,0.0,610.0,400.0,False,cell6_already_good,0.0,False,False
14,610.0,400.0,610.0,400.0,blur,medium,dram,2,610.0,400.0,0.7878285721043783,0.75,0.0,0.0,0.0,0.0,610.0,400.0,False,cell6_already_good,0.0,False,False
15,610.0,400.0,610.0,400.0,illumination,medium,dram,2,610.0,400.0,0.7878285721043783,0.75,0.0,0.0,0.0,0.0,610.0,400.0,False,cell6_already_good,0.0,False,False
16,610.0,400.0,610.0,400.0,reference_rotation,hard,dram,2,610.0,400.0,0.7878285721043783,0.75,0.0,0.0,0.0,0.0,610.0,400.0,False,cell6_already_good,0.0,False,False
17,610.0,400.0,610.0,400.0,reference_scale,hard,dram,2,610.0,400.0,0.7878285721043783,0.75,0.0,0.0,0.0,0.0,610.0,400.0,False,cell6_already_good,0.0,False,False
18,345.0,804.0,610.0,400.0,combined,hard,dram,2,610.0332356575221,399.9047063529424,0.7878285721043783,0.75,483.15732427440236,0.10092317920312045,483.2552352026798,483.05640109519925,610.0332356575221,399.9047063529424,True,catastrophic_strong_consensus_recovery,0.10092317920312045,False,False
19,383.0,626.0,383.0,626.0,reference_brightness,easy,dram,3,383.0,626.0,0.7126716948397717,0.5,0.0,0.0,0.0,0.0,383.0,626.0,False,cell6_already_good,0.0,False,False
20,383.0,626.0,383.0,626.0,search_brightness,easy,dram,3,383.0,626.0,0.7126716948397717,0.5,0.0,0.0,0.0,0.0,383.0,626.0,False,cell6_already_good,0.0,False,False
21,383.0,626.0,383.0,626.0,contrast_mismatch,medium,dram,3,383.0,626.0,0.7126716948397717,0.5,0.0,0.0,0.0,0.0,383.0,626.0,False,cell6_already_good,0.0,False,False
22,383.0,626.0,383.0,626.0,noise,medium,dram,3,383.0,626.0,0.7126716948397717,0.5,0.0,0.0,0.0,0.0,383.0,626.0,False,cell6_already_good,0.0,False,False
23,383.0,626.0,383.0,626.0,blur,medium,dram,3,383.0,626.0,0.7126716948397717,0.5,0.0,0.0,0.0,0.0,383.0,626.0,False,cell6_already_good,0.0,False,False
24,383.0,626.0,383.0,626.0,illumination,medium,dram,3,383.0,626.0,0.7126716948397717,0.5,0.0,0.0,0.0,0.0,383.0,626.0,False,cell6_already_good,0.0,False,False
25,383.0,626.0,383.0,626.0,reference_rotation,hard,dram,3,383.0,626.0,0.7126716948397717,0.5,0.0,0.0,0.0,0.0,383.0,626.0,False,cell6_already_good,0.0,False,False
26,383.0,626.0,383.0,626.0,reference_scale,hard,dram,3,383.0,626.0,0.7126716948397717,0.5,0.0,0.0,0.0,0.0,383.0,626.0,False,cell6_already_good,0.0,False,False
27,383.0,626.0,383.0,626.0,combined,hard,dram,3,383.0,626.0,0.7126716948397717,0.5,0.0,0.0,0.0,0.0,383.0,626.0,False,cell6_already_good,0.0,False,False
28,888.0,888.0,888.0,888.0,reference_brightness,easy,dram,4,888.0,888.0,0.6267067728554728,0.75,0.0,0.0,0.0,0.0,888.0,888.0,False,cell6_already_good,0.0,False,False
29,888.0,888.0,888.0,888.0,search_brightness,easy,dram,4,888.0,888.0,0.6267067728554728,0.75,0.0,0.0,0.0,0.0,888.0,888.0,False,cell6_already_good,0.0,False,False
30,888.0,888.0,888.0,888.0,contrast_mismatch,medium,dram,4,888.0,888.0,0.6267067728554728,0.75,0.0,0.0,0.0,0.0,888.0,888.0,False,cell6_already_good,0.0,False,False
31,888.0,888.0,888.0,888.0,noise,medium,dram,4,888.0,888.0,0.6267067728554728,0.75,0.0,0.0,0.0,0.0,888.0,888.0,False,cell6_already_good,0.0,False,False
32,888.0,888.0,888.0,888.0,blur,medium,dram,4,888.0,888.0,0.6267067728554728,0.75,0.0,0.0,0.0,0.0,888.0,888.0,False,cell6_already_good,0.0,False,False
33,888.0,888.0,888.0,888.0,illumination,medium,dram,4,888.0,888.0,0.6267067728554728,0.75,0.0,0.0,0.0,0.0,888.0,888.0,False,cell6_already_good,0.0,False,False
34,888.0,888.0,888.0,888.0,reference_rotation,hard,dram,4,888.0,888.0,0.6267067728554728,0.75,0.0,0.0,0.0,0.0,888.0,888.0,False,cell6_already_good,0.0,False,False
35,889.0,888.0,888.0,888.0,reference_scale,hard,dram,4,889.0,888.0,0.6267067728554728,0.75,1.0,1.0,0.0,0.0,889.0,888.0,False,cell6_already_good,1.0,False,False
36,888.0,888.0,888.0,888.0,combined,hard,dram,4,888.0,888.0,0.6267067728554728,0.75,0.0,0.0,0.0,0.0,888.0,888.0,False,cell6_already_good,0.0,False,False
37,150.0,379.0,150.0,379.0,reference_brightness,easy,dram,5,150.0,379.0,0.6363759770982846,0.25,0.0,0.0,0.0,0.0,150.0,379.0,False,cell6_already_good,0.0,False,False
38,150.0,379.0,150.0,379.0,search_brightness,easy,dram,5,150.0,379.0,0.6363759770982846,0.25,0.0,0.0,0.0,0.0,150.0,379.0,False,cell6_already_good,0.0,False,False
39,150.0,379.0,150.0,379.0,contrast_mismatch,medium,dram,5,150.0,379.0,0.6363759770982846,0.25,0.0,0.0,0.0,0.0,150.0,379.0,False,cell6_already_good,0.0,False,False
40,150.0,379.0,150.0,379.0,noise,medium,dram,5,150.0,379.0,0.6363759770982846,0.25,0.0,0.0,0.0,0.0,150.0,379.0,False,cell6_already_good,0.0,False,False
41,150.0,379.0,150.0,379.0,blur,medium,dram,5,150.0,379.0,0.6363759770982846,0.25,0.0,0.0,0.0,0.0,150.0,379.0,False,cell6_already_good,0.0,False,False
42,150.0,379.0,150.0,379.0,illumination,medium,dram,5,150.0,379.0,0.6363759770982846,0.25,0.0,0.0,0.0,0.0,150.0,379.0,False,cell6_already_good,0.0,False,False
43,150.0,379.0,150.0,379.0,reference_rotation,hard,dram,5,150.0,379.0,0.6363759770982846,0.25,0.0,0.0,0.0,0.0,150.0,379.0,False,cell6_already_good,0.0,False,False
44,150.0,379.0,150.0,379.0,reference_scale,hard,dram,5,150.0,379.0,0.6363759770982846,0.25,0.0,0.0,0.0,0.0,150.0,379.0,False,cell6_already_good,0.0,False,False
45,150.0,379.0,150.0,379.0,combined,hard,dram,5,150.0,379.0,0.6363759770982846,0.25,0.0,0.0,0.0,0.0,150.0,379.0,False,cell6_already_good,0.0,False,False
46,804.0,850.0,804.0,850.0,reference_brightness,easy,dram,6,804.0,850.0,0.6026402716376877,0.25,0.0,0.0,0.0,0.0,804.0,850.0,False,cell6_already_good,0.0,False,False
47,804.0,850.0,804.0,850.0,search_brightness,easy,dram,6,804.0,850.0,0.6026402716376877,0.25,0.0,0.0,0.0,0.0,804.0,850.0,False,cell6_already_good,0.0,False,False
48,804.0,850.0,804.0,850.0,contrast_mismatch,medium,dram,6,804.0,850.0,0.6026402716376877,0.25,0.0,0.0,0.0,0.0,804.0,850.0,False,cell6_already_good,0.0,False,False
49,804.0,850.0,804.0,850.0,noise,medium,dram,6,804.0,850.0,0.6026402716376877,0.25,0.0,0.0,0.0,0.0,804.0,850.0,False,cell6_already_good,0.0,False,False
50,804.0,850.0,804.0,850.0,blur,medium,dram,6,804.0,850.0,0.6026402716376877,0.25,0.0,0.0,0.0,0.0,804.0,850.0,False,cell6_already_good,0.0,False,False
51,804.0,850.0,804.0,850.0,illumination,medium,dram,6,804.0,850.0,0.6026402716376877,0.25,0.0,0.0,0.0,0.0,804.0,850.0,False,cell6_already_good,0.0,False,False
52,804.0,850.0,804.0,850.0,reference_rotation,hard,dram,6,804.0,850.0,0.6026402716376877,0.25,0.0,0.0,0.0,0.0,804.0,850.0,False,cell6_already_good,0.0,False,False
53,804.0,850.0,804.0,850.0,reference_scale,hard,dram,6,804.0,850.0,0.6026402716376877,0.25,0.0,0.0,0.0,0.0,804.0,850.0,False,cell6_already_good,0.0,False,False
54,804.0,850.0,804.0,850.0,combined,hard,dram,6,804.0,850.0,0.6026402716376877,0.25,0.0,0.0,0.0,0.0,804.0,850.0,False,cell6_already_good,0.0,False,False
55,405.0,514.0,405.0,514.0,reference_brightness,easy,dram,7,405.0,514.0,0.6910169129002698,0.5,0.0,0.0,0.0,0.0,405.0,514.0,False,cell6_already_good,0.0,False,False
56,405.0,514.0,405.0,514.0,search_brightness,easy,dram,7,405.0,514.0,0.6910169129002698,0.5,0.0,0.0,0.0,0.0,405.0,514.0,False,cell6_already_good,0.0,False,False
57,405.0,514.0,405.0,514.0,contrast_mismatch,medium,dram,7,405.0,514.0,0.6910169129002698,0.5,0.0,0.0,0.0,0.0,405.0,514.0,False,cell6_already_good,0.0,False,False
58,405.0,514.0,405.0,514.0,noise,medium,dram,7,405.0,514.0,0.6910169129002698,0.5,0.0,0.0,0.0,0.0,405.0,514.0,False,cell6_already_good,0.0,False,False
59,405.0,514.0,405.0,514.0,blur,medium,dram,7,405.0,514.0,0.6910169129002698,0.5,0.0,0.0,0.0,0.0,405.0,514.0,False,cell6_already_good,0.0,False,False
60,405.0,514.0,405.0,514.0,illumination,medium,dram,7,405.0,514.0,0.6910169129002698,0.5,0.0,0.0,0.0,0.0,405.0,514.0,False,cell6_already_good,0.0,False,False
61,405.0,514.0,405.0,514.0,reference_rotation,hard,dram,7,405.0,514.0,0.6910169129002698,0.5,0.0,0.0,0.0,0.0,405.0,514.0,False,cell6_already_good,0.0,False,False
62,406.0,515.0,405.0,514.0,reference_scale,hard,dram,7,412.1485314490244,478.9235029246713,0.6910169129002698,0.5,1.4142135623730951,35.79751596065337,36.59669493555178,-34.38330239828028,406.0,515.0,False,moderate_risk_cell6,1.4142135623730951,False,False
